name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
delhi,2024-11-25,25.2,15,20.3,25.2,15,20.3,9.9,56.7,0,0,0,,0,0,20.2,14.8,274.6,1015.2,0,6.4,156.4,13.5,6,10,2024-11-25T06:52:00,2024-11-25T17:24:16,0.81,Clear,Clear conditions throughout the day.,clear-day,"VIDP,remote"
delhi,2024-11-26,27.6,19.3,23,26.4,19.3,22.8,1.2,24.2,0,0,0,,0,0,21.6,14.8,314.8,1014,0,24.1,156.2,13.5,6,10,2024-11-26T06:52:48,2024-11-26T17:24:07,0.84,Clear,Clear conditions throughout the day.,clear-day,
delhi,2024-11-27,27.2,19.4,22.7,26.7,19.4,22.6,0.1,22.7,0,0,0,,0,0,13.3,8.3,22.9,1013.7,0,24.1,155.6,13.4,6,10,2024-11-27T06:53:35,2024-11-27T17:23:59,0.87,Clear,Clear conditions throughout the day.,clear-day,
delhi,2024-11-28,26.5,18.3,22,26.5,18.3,22,0.7,24.9,0,0,0,,0,0,13,7.9,38.5,1014.7,0,24.1,156.5,13.5,6,10,2024-11-28T06:54:23,2024-11-28T17:23:53,0.9,Clear,Clear conditions throughout the day.,clear-day,
delhi,2024-11-29,26.3,18.1,21.9,26.3,18.1,21.9,1.7,27.3,0,0,0,,0,0,8.6,6.5,8.2,1013.9,0,24.1,154.4,13.3,6,10,2024-11-29T06:55:10,2024-11-29T17:23:49,0.94,Clear,Clear conditions throughout the day.,clear-day,
delhi,2024-11-30,26.2,18.3,22,26.2,18.3,22,-1.7,20.5,0,0,0,,0,0,10.4,7.2,330,1012.3,0,24.1,153.6,13.5,6,10,2024-11-30T06:55:57,2024-11-30T17:23:46,0.97,Clear,Clear conditions throughout the day.,clear-day,
delhi,2024-12-01,26.6,18.6,22.1,26.6,18.6,22.1,-4.5,16.7,0,0,0,,0,0,11.5,7.6,315.6,1012.2,0,24.1,153,13.5,6,10,2024-12-01T06:56:43,2024-12-01T17:23:45,0,Clear,Clear conditions throughout the day.,clear-day,
delhi,2024-12-02,27.4,18.9,22.5,26.5,18.9,22.5,0.3,23.2,0,0,0,,0,0,11.9,7.9,322.5,1012.4,0,24.1,151.3,12.9,6,10,2024-12-02T06:57:29,2024-12-02T17:23:45,0.04,Clear,Clear conditions throughout the day.,clear-day,
delhi,2024-12-03,27.7,18.8,22.6,26.6,18.8,22.5,1.2,24.5,0,0,0,,0,0,20.9,13.7,318.6,1013.6,0,24.1,149.8,12.9,5,10,2024-12-03T06:58:15,2024-12-03T17:23:47,0.07,Clear,Clear conditions throughout the day.,clear-day,
delhi,2024-12-04,28.1,19,22.8,26.7,19,22.6,1.1,24.5,0,0,0,,0,0,28.1,19.8,311.8,1014.1,0,24.1,149.4,12.9,5,10,2024-12-04T06:59:00,2024-12-04T17:23:51,0.11,Clear,Clear conditions throughout the day.,clear-day,
delhi,2024-12-05,27.6,19.1,22.5,26.3,19.1,22.4,-1,21.2,0,3.2,0,,0,0,35.3,19.4,305.9,1012.3,0,24.1,149.3,12.9,5,10,2024-12-05T06:59:45,2024-12-05T17:23:57,0.14,Clear,Clear conditions throughout the day.,clear-day,
delhi,2024-12-06,27.4,18.7,22.4,26.6,18.7,22.3,-0.6,21.7,0,3.2,0,,0,0,17.3,10.1,302.1,1010.8,0.1,24.1,147.6,12.9,5,10,2024-12-06T07:00:29,2024-12-06T17:24:04,0.18,Clear,Clear conditions throughout the day.,clear-day,
delhi,2024-12-07,27.1,19,22.4,26.4,19,22.4,1.4,25.2,0,6.5,0,,0,0,33.8,14.4,133.7,1010.7,2.6,24.1,145.1,12.3,5,10,2024-12-07T07:01:13,2024-12-07T17:24:12,0.21,Clear,Clear conditions throughout the day.,clear-day,
delhi,2024-12-08,23.8,17.2,20.1,23.8,17.2,20.1,4,35.1,0.1,6.5,4.17,rain,0,0,38.5,15.1,59.3,1013.6,37.9,24.1,113.5,9.6,4,10,2024-12-08T07:01:56,2024-12-08T17:24:23,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
delhi,2024-12-09,24.2,16.5,19.8,24.2,16.5,19.8,4.4,37.6,0,3.2,0,,0,0,22,14.8,313.9,1014.2,0.2,24.1,146,12.6,5,10,2024-12-09T07:02:38,2024-12-09T17:24:34,0.28,Clear,Clear conditions throughout the day.,clear-day,
