Date,Condition,Cloud Cover (%),Max Temp (°C),Min Temp (°C),Humidity (%)
July 26 2019,Overcast,94.27,32,25,95
July 27 2019,Overcast,100,31,25,95
July 28 2019,Overcast,100,31,24,95
July 29 2019,Overcast,100,32,24,94
July 30 2019,Overcast,100,32,25,96
July 31 2019,Overcast,100,32,24,95
August 1 2019,Overcast,100,33,25,98
August 2 2019,Overcast,100,30,25,93
August 3 2019,Overcast,100,29,24,91
August 4 2019,Broken,72.58,27,24,85
August 5 2019,Broken,70,29,24,91
August 6 2019,Overcast,99.20,29,24,91
August 7 2019,Overcast,100,30,26,92
August 8 2019,Overcast,100,29,26,92
August 9 2019,Overcast,100,29,25,93
August 10 2019,Overcast,99.20,28,26,92
August 11 2019,Overcast,100,32,26,95
August 12 2019,Broken,75.83,31,26,83
August 13 2019,Overcast,100,31,28,96
August 14 2019,Broken,80.34,31,27,90
August 15 2019,Overcast,100,31,27,94
August 16 2019,Few,10.48,31,27,50
August 17 2019,Broken,78.51,32,27,68
August 18 2019,Isolated,13.22,32,27,52
August 19 2019,Broken,60,33,25,95
August 20 2019,Overcast,100,32,26,96
August 21 2019,Overcast,100,32,26,97
August 22 2019,Scattered,30.45,31,24,76
August 23 2019,Overcast,100,30,25,93
August 24 2019,Overcast,100,29,24,92
August 25 2019,Overcast,100,30,23,94
August 26 2019,Overcast,100,30,23,91
August 27 2019,Overcast,99,29,23,90
August 28 2019,Overcast,99.20,30,25,89
August 29 2019,Overcast,100,31,25,94
August 30 2019,Overcast,100,30,25,93
August 31 2019,Overcast,100,30,25,93
September 1 2019,Scattered,40,28,23,75
September 2 2019,Overcast,95,29,24,90
September 3 2019,Broken,60,30,25,87
September 4 2019,Few,10,31,26,45
September 5 2019,Overcast,100,30,25,95
September 6 2019,Overcast,99.20,29,24,93
September 7 2019,Overcast,98,30,24,92
September 8 2019,Isolated,20,28,23,50
September 9 2019,Broken,75,31,25,85
September 10 2019,Overcast,99.50,30,24,94
